,day_of_week,hour,source,destination,type,avg_distance,avg_lyft_price,avg_uber_price,preferred
302,6,9,Northeastern University,Financial District,lux,4.312,27.5,28.0,Lyft
303,6,9,Northeastern University,Financial District,black_xl,4.035555555555556,39.9,40.0,Lyft
304,6,9,Northeastern University,Financial District,xl,4.157692307692307,21.75,22.11111111111111,Lyft
305,6,9,Northeastern University,Back Bay,shared,1.4823076923076925,4.785714285714286,7.833333333333333,Lyft
306,6,9,Northeastern University,Back Bay,standard,1.5015384615384613,7.25,8.4,Lyft
307,6,9,Northeastern University,Back Bay,black_xl,1.487,27.0,26.25,Uber
308,6,9,Northeastern University,Back Bay,xl,1.5210000000000001,10.5,12.25,Lyft
309,6,9,Northeastern University,Back Bay,lux,1.513333333333333,15.0,16.5,Lyft
310,6,9,Northeastern University,West End,xl,2.885,18.0,18.5625,Lyft
311,6,9,Northeastern University,West End,shared,2.842222222222222,8.0,9.214285714285714,Lyft
312,6,9,Northeastern University,West End,standard,2.843,9.5,9.142857142857142,Uber
313,6,9,Northeastern University,West End,black_xl,2.868,32.25,30.916666666666668,Uber
314,6,9,Northeastern University,West End,lux,2.8544444444444443,19.5,21.416666666666668,Lyft
315,6,9,Northeastern University,Beacon Hill,lux,2.5149999999999997,18.5,19.5,Lyft
316,6,9,Northeastern University,Beacon Hill,xl,2.53,16.5,15.5,Uber
317,6,9,Northeastern University,Beacon Hill,shared,2.5199999999999996,7.0,8.25,Lyft
318,6,9,Northeastern University,Beacon Hill,black_xl,2.51,31.666666666666668,29.666666666666668,Uber
319,6,9,Northeastern University,Beacon Hill,standard,2.5116666666666663,9.5,10.333333333333334,Lyft
320,6,9,West End,Fenway,lux,2.882,25.333333333333332,22.72222222222222,Uber
321,6,9,West End,Fenway,black_xl,2.882,37.125,31.083333333333332,Uber
322,6,9,West End,Fenway,shared,2.8938461538461544,6.666666666666667,9.357142857142858,Lyft
323,6,9,West End,Fenway,xl,2.9,18.5,17.0,Uber
324,6,9,West End,Fenway,standard,2.876666666666667,10.375,10.375,Lyft
325,6,9,West End,South Station,xl,1.8750000000000002,13.5,13.666666666666666,Lyft
